protocol_type,service,flag,src_bytes,dst_bytes,count,same_srv_rate,diff_srv_rate,dst_host_srv_count,dst_host_same_srv_rate
1,19,9,868,0,1,1.0,0.0,6,0.15
0,14,9,1008,0,230,1.0,0.0,255,1.0
1,22,4,33580,1460,4,1.0,0.0,255,1.0
1,22,9,359,335,18,1.0,0.0,255,1.0
1,18,9,25,157,1,1.0,0.0,16,0.41
1,52,1,0,0,5,0.2,0.8,37,0.15
1,22,9,233,1648,3,1.0,0.0,255,1.0
0,14,9,1032,0,38,1.0,0.0,255,1.0
1,19,9,12,0,1,1.0,0.0,9,0.28
1,22,9,325,188,1,1.0,0.0,255,1.0
1,19,9,283618,0,2,1.0,0.0,10,0.8
1,45,5,0,0,146,0.13,0.06,19,0.07
1,49,9,2599,293,3,0.67,0.67,57,0.22
1,45,4,0,0,1,1.0,0.0,1,0.01
1,49,9,2599,293,2,1.0,0.0,243,0.95
1,55,8,0,44,1,1.0,0.0,122,0.48
1,45,1,0,0,97,0.05,0.06,5,0.02
2,11,9,46,77,373,1.0,0.0,254,1.0
1,22,9,217,430,11,1.0,0.0,255,1.0
1,61,5,0,0,156,0.06,0.09,10,0.04
1,45,1,0,0,223,0.04,0.08,10,0.04
1,29,1,0,0,244,0.05,0.07,11,0.04
1,22,9,218,241,3,1.0,0.0,255,1.0
1,22,9,209,4123,9,1.0,0.0,247,1.0
1,55,9,127,174,2,1.0,0.0,178,0.7
1,43,9,30,93,1,1.0,0.0,249,0.98
1,40,5,0,0,398,0.0,1.0,1,0.0
0,14,9,520,0,509,1.0,0.0,116,1.0
1,19,9,283618,0,1,1.0,0.0,7,0.88
2,45,9,1,0,44,0.02,0.8,1,0.0
1,19,9,192,0,1,1.0,0.0,39,0.22
2,45,9,53,54,510,1.0,0.0,255,1.0
1,22,9,212,255,17,1.0,0.0,255,1.0
1,22,9,197,2543,21,1.0,0.0,255,1.0
1,45,1,0,0,111,0.05,0.06,5,0.02
2,45,9,1,1,136,0.01,1.0,1,0.0
1,22,4,34144,1,54,1.0,0.0,253,0.99
1,55,8,0,44,1,1.0,0.0,123,0.48
1,45,1,0,0,256,0.01,0.07,1,0.0
1,22,9,293,253,8,1.0,0.0,255,1.0
1,45,5,0,0,143,0.11,0.06,16,0.06
1,22,9,294,345,12,1.0,0.0,255,1.0
2,45,9,55,55,510,1.0,0.0,255,1.0
1,22,4,78404,0,74,1.0,0.0,255,1.0
1,45,1,0,0,192,0.03,0.08,6,0.02
2,45,9,50,0,2,1.0,0.0,254,1.0
1,40,1,0,0,505,0.0,1.0,1,0.0
0,14,9,1032,0,510,1.0,0.0,150,0.9
1,22,9,306,1994,14,1.0,0.0,255,1.0
1,40,1,0,0,398,0.0,1.0,1,0.0
1,45,5,0,0,214,0.01,0.07,3,0.01
2,45,9,46,43,71,1.0,0.0,255,1.0
2,11,9,22,0,1,1.0,0.0,249,0.98
1,49,9,2599,293,2,1.0,0.0,69,0.27
1,40,4,244,611,1,1.0,0.0,16,0.06
1,22,5,0,0,52,1.0,0.0,255,1.0
